lab4.cpp
lab4.err
lab4.out
lab4.sh
t v x
x=0.5
7.34 -0.159919 0.0235869
7.342 -0.166002 0.023267
7.344 -0.172007 0.022935
7.346 -0.17793 0.022591
7.348 -0.183768 0.0222352
7.35 -0.189519 0.0218676
7.352 -0.195179 0.0214886
7.354 -0.200745 0.0210982
7.356 -0.206214 0.0206967
7.358 -0.211584 0.0202843
7.36 -0.21685 0.0198611
7.362 -0.222011 0.0194274
7.364 -0.227062 0.0189834
7.366 -0.232001 0.0185293
7.368 -0.236826 0.0180653
7.37 -0.241532 0.0175916
7.372 -0.246118 0.0171086
7.374 -0.25058 0.0166163
7.376 -0.254915 0.0161152
7.378 -0.259121 0.0156054
7.38 -0.263195 0.0150871
7.382 -0.267133 0.0145607
7.384 -0.270934 0.0140265
7.386 -0.274594 0.0134846
7.388 -0.278111 0.0129354
7.39 -0.281481 0.0123792
7.392 -0.284704 0.0118162
7.394 -0.287774 0.0112468
7.396 -0.290692 0.0106713
7.398 -0.293453 0.0100899
7.4 -0.296056 0.00950297
7.402 -0.298497 0.00891085
7.404 -0.300776 0.00831386
7.406 -0.302889 0.00771231
7.408 -0.304834 0.00710653
7.41 -0.30661 0.00649686
7.412 -0.308214 0.00588364
7.414 -0.309644 0.00526722
7.416 -0.310899 0.00464793
7.418 -0.311976 0.00402613
7.42 -0.312874 0.00340218
7.422 -0.313592 0.00277643
7.424 -0.314127 0.00214925
7.426 -0.314479 0.00152099
7.428 -0.314645 0.000892036
7.43 -0.314626 0.000262746
7.432 -0.314419 -0.000366506
7.434 -0.314024 -0.000995343
7.436 -0.313439 -0.00162339
7.438 -0.312665 -0.00225027
7.44 -0.3117 -0.0028756
7.442 -0.310544 -0.003499
7.444 -0.309196 -0.00412009
7.446 -0.307657 -0.00473848
7.448 -0.305925 -0.00535379
7.45 -0.304002 -0.00596564
7.452 -0.301886 -0.00657364
7.454 -0.299579 -0.00717742
7.456 -0.297081 -0.00777658
7.458 -0.294393 -0.00837074
7.46 -0.291514 -0.00895952
7.462 -0.288447 -0.00954255
7.464 -0.285191 -0.0101194
7.466 -0.281749 -0.0106898
7.468 -0.278122 -0.0112533
7.47 -0.27431 -0.0118096
7.472 -0.270316 -0.0123582
7.474 -0.266142 -0.0128988
7.476 -0.261789 -0.0134311
7.478 -0.25726 -0.0139547
7.48 -0.252557 -0.0144692
7.482 -0.247682 -0.0149743
7.484 -0.242638 -0.0154697
7.486 -0.237428 -0.015955
7.488 -0.232055 -0.0164298
7.49 -0.226521 -0.0168939
7.492 -0.220831 -0.017347
7.494 -0.214987 -0.0177886
7.496 -0.208994 -0.0182186
7.498 -0.202854 -0.0186366
7.5 -0.196572 -0.0190423
7.502 -0.190152 -0.0194354
7.504 -0.183598 -0.0198157
7.506 -0.176914 -0.0201829
7.508 -0.170105 -0.0205368
7.51 -0.163175 -0.020877
7.512 -0.15613 -0.0212033
7.514 -0.148973 -0.0215156
7.516 -0.14171 -0.0218135
7.518 -0.134346 -0.022097
7.52 -0.126886 -0.0223656
7.522 -0.119336 -0.0226194
7.524 -0.1117 -0.0228581
7.526 -0.103985 -0.0230815
7.528 -0.0961961 -0.0232895
7.53 -0.0883387 -0.0234819
7.532 -0.0804187 -0.0236585
7.534 -0.0724421 -0.0238194
7.536 -0.0644145 -0.0239643
7.538 -0.0563421 -0.0240931
7.54 -0.0482308 -0.0242058
7.542 -0.0400867 -0.0243022
7.544 -0.0319158 -0.0243824
7.546 -0.0237242 -0.0244462
7.548 -0.0155181 -0.0244937
7.55 -0.00730366 -0.0245247
7.552 0.000913011 -0.0245393
7.554 0.00912574 -0.0245375
7.556 0.0173284 -0.0245192
7.558 0.0255148 -0.0244846
7.56 0.0336789 -0.0244336
7.562 0.0418145 -0.0243662
7.564 0.0499157 -0.0242826
7.566 0.0579764 -0.0241827
7.568 0.0659907 -0.0240668
7.57 0.0739527 -0.0239348
7.572 0.0818565 -0.0237869
7.574 0.0896963 -0.0236232
7.576 0.0974666 -0.0234438
7.578 0.105162 -0.0232489
7.58 0.112776 -0.0230385
7.582 0.120304 -0.022813
7.584 0.127741 -0.0225724
7.586 0.135081 -0.0223169
7.588 0.142319 -0.0220467
7.59 0.149451 -0.0217621
7.592 0.156471 -0.0214632
7.594 0.163374 -0.0211503
7.596 0.170157 -0.0208235
7.598 0.176814 -0.0204832
7.6 0.183341 -0.0201296
7.602 0.189735 -0.0197629
7.604 0.19599 -0.0193834
7.606 0.202103 -0.0189914
7.608 0.208071 -0.0185872
7.61 0.213889 -0.0181711
7.612 0.219555 -0.0177433
7.614 0.225065 -0.0173042
7.616 0.230415 -0.0168541
7.618 0.235604 -0.0163932
7.62 0.240627 -0.015922
7.622 0.245483 -0.0154408
7.624 0.250168 -0.0149498
7.626 0.254681 -0.0144495
7.628 0.25902 -0.0139401
7.63 0.263181 -0.0134221
7.632 0.267165 -0.0128957
7.634 0.270968 -0.0123614
7.636 0.274589 -0.0118194
7.638 0.278027 -0.0112703
7.64 0.281281 -0.0107142
7.642 0.284349 -0.0101516
7.644 0.287231 -0.00958295
7.646 0.289926 -0.00900849
7.648 0.292433 -0.00842864
7.65 0.294752 -0.00784377
7.652 0.296882 -0.00725427
7.654 0.298823 -0.0066605
7.656 0.300576 -0.00606286
7.658 0.30214 -0.0054617
7.66 0.303515 -0.00485742
7.662 0.304702 -0.0042504
7.664 0.305701 -0.00364099
7.666 0.306513 -0.00302959
7.668 0.307139 -0.00241656
7.67 0.307578 -0.00180229
7.672 0.307834 -0.00118713
7.674 0.307905 -0.000571462
7.676 0.307794 4.43485e-05
7.678 0.307502 0.000659937
7.68 0.30703 0.00127494
7.682 0.306379 0.001889
7.684 0.305552 0.00250176
7.686 0.304549 0.00311286
7.688 0.303373 0.00372196
7.69 0.302025 0.00432871
7.692 0.300507 0.00493276
7.694 0.298821 0.00553377
7.696 0.296969 0.00613141
7.698 0.294953 0.00672535
7.7 0.292776 0.00731525
7.702 0.29044 0.00790081
7.704 0.287946 0.00848169
7.706 0.285297 0.00905758
7.708 0.282496 0.00962817
7.71 0.279546 0.0101932
7.712 0.276447 0.0107523
7.714 0.273204 0.0113052
7.716 0.269819 0.0118516
7.718 0.266294 0.0123912
7.72 0.262632 0.0129238
7.722 0.258835 0.013449
7.724 0.254908 0.0139667
7.726 0.250851 0.0144765
7.728 0.246668 0.0149782
7.73 0.242362 0.0154716
7.732 0.237936 0.0159563
7.734 0.233392 0.0164322
7.736 0.228733 0.016899
7.738 0.223963 0.0173564
7.74 0.219084 0.0178043
7.742 0.2141 0.0182425
7.744 0.209012 0.0186707
7.746 0.203825 0.0190887
7.748 0.19854 0.0194964
7.75 0.193162 0.0198935
7.752 0.187692 0.0202798
7.754 0.182135 0.0206552
7.756 0.176493 0.0210194
7.758 0.170769 0.0213724
7.76 0.164966 0.021714
7.762 0.159088 0.0220439
7.764 0.153136 0.0223621
7.766 0.147115 0.0226683
7.768 0.141027 0.0229626
7.77 0.134875 0.0232446
7.772 0.128663 0.0235144
7.774 0.122393 0.0237717
7.776 0.116069 0.0240165
7.778 0.109693 0.0242486
7.78 0.103269 0.024468
7.782 0.0967988 0.0246746
7.784 0.0902868 0.0248682
7.786 0.0837355 0.0250487
7.788 0.0771479 0.0252162
7.79 0.0705271 0.0253705
7.792 0.0638761 0.0255115
7.794 0.057198 0.0256393
7.796 0.0504958 0.0257537
7.798 0.0437726 0.0258547
7.8 0.0370313 0.0259422
7.802 0.0302751 0.0260163
7.804 0.0235069 0.0260768
7.806 0.0167299 0.0261239
7.808 0.00994693 0.0261573
7.81 0.00316115 0.0261772
7.812 -0.00362443 0.0261835
7.814 -0.0104068 0.0261763
7.816 -0.0171829 0.0261555
7.818 -0.0239497 0.0261211
7.82 -0.0307042 0.0260732
7.822 -0.0374433 0.0260118
7.824 -0.0441641 0.0259369
7.826 -0.0508635 0.0258486
7.828 -0.0575384 0.0257469
7.83 -0.0641859 0.0256318
7.832 -0.0708029 0.0255034
7.834 -0.0773864 0.0253618
7.836 -0.0839334 0.025207
7.838 -0.0904407 0.0250392
7.84 -0.0969055 0.0248583
7.842 -0.103325 0.0246645
7.844 -0.109695 0.0244578
7.846 -0.116014 0.0242384
7.848 -0.122278 0.0240064
7.85 -0.128485 0.0237618
7.852 -0.134631 0.0235049
7.854 -0.140713 0.0232356
7.856 -0.146728 0.0229542
7.858 -0.152674 0.0226607
7.86 -0.158546 0.0223554
7.862 -0.164343 0.0220383
7.864 -0.170062 0.0217096
7.866 -0.175698 0.0213695
7.868 -0.18125 0.0210181
7.87 -0.186715 0.0206556
7.872 -0.192088 0.0202822
7.874 -0.197368 0.019898
7.876 -0.202552 0.0195032
7.878 -0.207636 0.0190981
7.88 -0.212618 0.0186829
7.882 -0.217495 0.0182576
7.884 -0.222263 0.0178226
7.886 -0.226921 0.0173781
7.888 -0.231464 0.0169243
7.89 -0.235891 0.0164613
7.892 -0.240199 0.0159896
7.894 -0.244384 0.0155092
7.896 -0.248445 0.0150204
7.898 -0.252378 0.0145235
7.9 -0.25618 0.0140188
7.902 -0.25985 0.0135064
7.904 -0.263384 0.0129867
7.906 -0.26678 0.0124599
7.908 -0.270035 0.0119264
7.91 -0.273147 0.0113863
7.912 -0.276113 0.01084
7.914 -0.278931 0.0102878
7.916 -0.281599 0.00972991
7.918 -0.284114 0.00916672
7.92 -0.286474 0.00859849
7.922 -0.288677 0.00802554
7.924 -0.290721 0.00744819
7.926 -0.292603 0.00686675
7.928 -0.294322 0.00628154
7.93 -0.295876 0.0056929
7.932 -0.297263 0.00510114
7.934 -0.298481 0.00450662
7.936 -0.299529 0.00390965
7.938 -0.300405 0.0033106
7.94 -0.301107 0.00270979
7.942 -0.301633 0.00210757
7.944 -0.301984 0.00150431
7.946 -0.302157 0.000900338
7.948 -0.302151 0.000296024
7.95 -0.301965 -0.000308278
7.952 -0.301599 -0.000912209
7.954 -0.301051 -0.00151541
7.956 -0.300321 -0.00211751
7.958 -0.299408 -0.00271815
7.96 -0.298312 -0.00331697
7.962 -0.297032 -0.00391359
7.964 -0.295568 -0.00450766
7.966 -0.293921 -0.00509879
7.968 -0.292089 -0.00568663
7.97 -0.290074 -0.00627081
7.972 -0.287875 -0.00685096
7.974 -0.285493 -0.00742671
7.976 -0.282928 -0.00799769
7.978 -0.280182 -0.00856355
7.98 -0.277255 -0.00912391
7.982 -0.274148 -0.00967842
7.984 -0.270862 -0.0102267
7.986 -0.267399 -0.0107684
7.988 -0.263759 -0.0113032
7.99 -0.259946 -0.0118308
7.992 -0.255959 -0.0123507
7.994 -0.251802 -0.0128626
7.996 -0.247477 -0.0133662
7.998 -0.242984 -0.0138611
8 -0.238328 -0.0143471
8.002 -0.23351 -0.0148238
8.004 -0.228533 -0.0152908
8.006 -0.2234 -0.0157478
8.008 -0.218113 -0.0161946
8.01 -0.212677 -0.0166309
8.012 -0.207094 -0.0170562
8.014 -0.201367 -0.0174704
8.016 -0.195501 -0.0178731
8.018 -0.189499 -0.0182641
8.02 -0.183364 -0.0186431
8.022 -0.177101 -0.0190099
8.024 -0.170714 -0.0193641
8.026 -0.164206 -0.0197055
8.028 -0.157583 -0.0200339
8.03 -0.150849 -0.0203491
8.032 -0.144009 -0.0206508
8.034 -0.137067 -0.0209388
8.036 -0.130027 -0.0212129
8.038 -0.122896 -0.021473
8.04 -0.115678 -0.0217188
8.042 -0.108377 -0.0219501
8.044 -0.101001 -0.0221669
8.046 -0.0935524 -0.0223689
8.048 -0.0860383 -0.022556
8.05 -0.0784637 -0.0227281
8.052 -0.0708342 -0.022885
8.054 -0.0631553 -0.0230267
8.056 -0.0554327 -0.023153
8.058 -0.0476721 -0.0232638
8.06 -0.0398792 -0.0233592
8.062 -0.0320597 -0.0234389
8.064 -0.0242196 -0.0235031
8.066 -0.0163645 -0.0235515
8.068 -0.00850037 -0.0235842
8.07 -0.000633015 -0.0236012
8.072 0.00723172 -0.0236025
8.074 0.015088 -0.023588
8.076 0.02293 -0.0235579
8.078 0.0307518 -0.023512
8.08 0.0385478 -0.0234505
8.082 0.0463122 -0.0233734
8.084 0.0540392 -0.0232808
8.086 0.0617232 -0.0231727
8.088 0.0693586 -0.0230492
8.09 0.0769398 -0.0229105
8.092 0.0844613 -0.0227566
8.094 0.0919178 -0.0225877
8.096 0.0993038 -0.0224039
8.098 0.106614 -0.0222053
8.1 0.113843 -0.0219921
8.102 0.120987 -0.0217644
8.104 0.128039 -0.0215224
8.106 0.134996 -0.0212663
8.108 0.141852 -0.0209963
8.11 0.148603 -0.0207126
8.112 0.155244 -0.0204154
8.114 0.161771 -0.0201049
8.116 0.168179 -0.0197814
8.118 0.174465 -0.019445
8.12 0.180624 -0.0190961
8.122 0.186652 -0.0187348
8.124 0.192546 -0.0183615
8.126 0.198301 -0.0179765
8.128 0.203916 -0.0175798
8.13 0.209385 -0.017172
8.132 0.214706 -0.0167532
8.134 0.219876 -0.0163238
8.136 0.224892 -0.0158841
8.138 0.229752 -0.0154343
8.14 0.234452 -0.0149748
8.142 0.23899 -0.0145059
8.144 0.243364 -0.0140279
8.146 0.247571 -0.0135412
8.148 0.251611 -0.013046
8.15 0.25548 -0.0125428
8.152 0.259177 -0.0120319
8.154 0.262702 -0.0115135
8.156 0.266051 -0.0109881
8.158 0.269224 -0.010456
8.16 0.27222 -0.00991755
8.162 0.275038 -0.00937311
8.164 0.277678 -0.00882304
8.166 0.280137 -0.00826768
8.168 0.282417 -0.00770741
8.17 0.284516 -0.00714257
8.172 0.286434 -0.00657354
8.174 0.288171 -0.00600068
8.176 0.289727 -0.00542433
8.178 0.291103 -0.00484488
8.18 0.292298 -0.00426267
8.182 0.293312 -0.00367808
8.184 0.294147 -0.00309145
8.186 0.294803 -0.00250316
8.188 0.295281 -0.00191355
8.19 0.295581 -0.00132299
8.192 0.295704 -0.000731828
8.194 0.295651 -0.00014042
8.196 0.295425 0.000450882
8.198 0.295024 0.00104173
8.2 0.294452 0.00163178
8.202 0.29371 0.00222068
8.204 0.292798 0.0028081
8.206 0.291719 0.0033937
8.208 0.290474 0.00397714
8.21 0.289065 0.00455808
8.212 0.287494 0.00513621
8.214 0.285762 0.0057112
8.216 0.283873 0.00628273
8.218 0.281826 0.00685047
8.22 0.279626 0.00741413
8.222 0.277274 0.00797338
8.224 0.274771 0.00852792
8.226 0.272121 0.00907747
8.228 0.269326 0.00962171
8.23 0.266388 0.0101604
8.232 0.263309 0.0106931
8.234 0.260092 0.0112198
8.236 0.25674 0.0117399
8.238 0.253254 0.0122534
8.24 0.249638 0.0127599
8.242 0.245894 0.0132592
8.244 0.242025 0.013751
8.246 0.238033 0.014235
8.248 0.233921 0.0147111
8.25 0.229693 0.0151789
8.252 0.225349 0.0156383
8.254 0.220894 0.016089
8.256 0.216331 0.0165308
8.258 0.211661 0.0169635
8.26 0.206888 0.0173868
8.262 0.202014 0.0178006
8.264 0.197043 0.0182046
8.266 0.191978 0.0185987
8.268 0.18682 0.0189827
8.27 0.181574 0.0193563
8.272 0.176242 0.0197194
8.274 0.170827 0.0200719
8.276 0.165331 0.0204136
8.278 0.159758 0.0207442
8.28 0.154112 0.0210638
8.282 0.148393 0.021372
8.284 0.142607 0.0216688
8.286 0.136755 0.021954
8.288 0.13084 0.0222275
8.29 0.124866 0.0224892
8.292 0.118836 0.0227389
8.294 0.112751 0.0229766
8.296 0.106617 0.0232021
8.298 0.100434 0.0234153
8.3 0.0942069 0.0236162
8.302 0.087938 0.0238046
8.304 0.0816303 0.0239805
8.306 0.0752868 0.0241437
8.308 0.0689105 0.0242943
8.31 0.0625043 0.0244321
8.312 0.0560712 0.0245571
8.314 0.0496141 0.0246693
8.316 0.0431361 0.0247685
8.318 0.0366401 0.0248548
8.32 0.030129 0.0249281
8.322 0.0236058 0.0249883
8.324 0.0170736 0.0250355
8.326 0.0105351 0.0250697
8.328 0.0039935 0.0250907
8.33 -0.00254838 0.0250987
8.332 -0.00908753 0.0250936
8.334 -0.015621 0.0250755
8.336 -0.0221458 0.0250442
8.338 -0.0286591 0.0249999
8.34 -0.0351578 0.0249426
8.342 -0.0416389 0.0248723
8.344 -0.0480997 0.024789
8.346 -0.054537 0.0246928
8.348 -0.0609479 0.0245837
8.35 -0.0673295 0.0244618
8.352 -0.0736788 0.0243272
8.354 -0.0799929 0.0241798
8.356 -0.0862689 0.0240198
8.358 -0.0925037 0.0238473
8.36 -0.0986945 0.0236623
8.362 -0.104838 0.0234649
8.364 -0.110932 0.0232552
8.366 -0.116973 0.0230334
8.368 -0.122958 0.0227994
8.37 -0.128884 0.0225535
8.372 -0.134749 0.0222957
8.374 -0.140549 0.0220262
8.376 -0.146282 0.0217451
8.378 -0.151944 0.0214526
8.38 -0.157533 0.0211487
8.382 -0.163045 0.0208336
8.384 -0.168479 0.0205075
8.386 -0.17383 0.0201706
8.388 -0.179097 0.0198229
8.39 -0.184276 0.0194647
8.392 -0.189364 0.0190962
8.394 -0.194359 0.0187174
8.396 -0.199257 0.0183287
8.398 -0.204057 0.0179302
8.4 -0.208755 0.0175221
8.402 -0.213348 0.0171046
8.404 -0.217834 0.0166779
8.406 -0.22221 0.0162422
8.408 -0.226473 0.0157978
8.41 -0.23062 0.0153449
8.412 -0.234649 0.0148836
8.414 -0.238558 0.0144143
8.416 -0.242343 0.0139372
8.418 -0.246003 0.0134525
8.42 -0.249533 0.0129605
8.422 -0.252933 0.0124614
8.424 -0.2562 0.0119556
8.426 -0.259331 0.0114432
8.428 -0.262323 0.0109245
8.43 -0.265175 0.0103999
8.432 -0.267884 0.00986951
8.434 -0.270448 0.00933375
8.436 -0.272865 0.00879285
8.438 -0.275132 0.00824712
8.44 -0.277249 0.00769686
8.442 -0.279211 0.00714236
8.444 -0.281018 0.00658394
8.446 -0.282668 0.0060219
8.448 -0.284159 0.00545656
8.45 -0.28549 0.00488824
8.452 -0.286657 0.00431726
8.454 -0.287661 0.00374395
8.456 -0.288499 0.00316863
8.458 -0.28917 0.00259163
8.46 -0.289673 0.00201329
8.462 -0.290007 0.00143394
8.464 -0.29017 0.000853928
8.466 -0.290161 0.000273588
8.468 -0.28998 -0.000306734
8.47 -0.289625 -0.000886693
8.472 -0.289095 -0.00146594
8.474 -0.288391 -0.00204413
8.476 -0.287512 -0.00262092
8.478 -0.286457 -0.00319594
8.48 -0.285225 -0.00376885
8.482 -0.283818 -0.0043393
8.484 -0.282234 -0.00490694
8.486 -0.280473 -0.0054714
8.488 -0.278537 -0.00603235
8.49 -0.276425 -0.00658943
8.492 -0.274138 -0.00714228
8.494 -0.271676 -0.00769055
8.496 -0.26904 -0.0082339
8.498 -0.266231 -0.00877198
8.5 -0.26325 -0.00930445
8.502 -0.260097 -0.00983095
8.504 -0.256775 -0.0103511
8.506 -0.253285 -0.0108647
8.508 -0.249628 -0.0113713
8.51 -0.245806 -0.0118705
8.512 -0.241821 -0.0123621
8.514 -0.237674 -0.0128458
8.516 -0.233369 -0.0133211
8.518 -0.228907 -0.0137879
8.52 -0.22429 -0.0142457
8.522 -0.219521 -0.0146943
8.524 -0.214603 -0.0151333
8.526 -0.209539 -0.0155625
8.528 -0.204332 -0.0159816
8.53 -0.198985 -0.0163902
8.532 -0.1935 -0.0167882
8.534 -0.187882 -0.0171752
8.536 -0.182135 -0.017551
8.538 -0.176261 -0.0179152
8.54 -0.170264 -0.0182678
8.542 -0.164149 -0.0186083
8.544 -0.157919 -0.0189366
8.546 -0.151579 -0.0192524
8.548 -0.145132 -0.0195556
8.55 -0.138584 -0.0198459
8.552 -0.131939 -0.020123
8.554 -0.125201 -0.0203869
8.556 -0.118375 -0.0206373
8.558 -0.111466 -0.0208741
8.56 -0.104479 -0.021097
8.562 -0.0974178 -0.0213059
8.564 -0.0902888 -0.0215008
8.566 -0.0830967 -0.0216814
8.568 -0.0758466 -0.0218475
8.57 -0.0685437 -0.0219992
8.572 -0.0611935 -0.0221363
8.574 -0.0538012 -0.0222587
8.576 -0.0463722 -0.0223663
8.578 -0.0389121 -0.0224591
8.58 -0.0314262 -0.0225369
8.582 -0.0239201 -0.0225997
8.584 -0.0163993 -0.0226476
8.586 -0.00886935 -0.0226804
8.588 -0.00133582 -0.0226981
8.59 0.00619576 -0.0227008
8.592 0.0137198 -0.0226884
8.594 0.0212309 -0.022661
8.596 0.0287234 -0.0226185
8.598 0.0361918 -0.022561
8.6 0.0436307 -0.0224887
8.602 0.0510347 -0.0224014
8.604 0.0583983 -0.0222993
8.606 0.0657162 -0.0221825
8.608 0.0729832 -0.0220511
8.61 0.0801939 -0.0219051
8.612 0.0873433 -0.0217448
8.614 0.0944263 -0.0215701
8.616 0.101438 -0.0213812
8.618 0.108373 -0.0211783
8.62 0.115227 -0.0209616
8.622 0.121995 -0.0207311
8.624 0.128672 -0.0204871
8.626 0.135254 -0.0202298
8.628 0.141736 -0.0199593
8.63 0.148114 -0.0196758
8.632 0.154384 -0.0193796
8.634 0.160541 -0.0190708
8.636 0.166583 -0.0187497
8.638 0.172503 -0.0184166
8.64 0.1783 -0.0180716
8.642 0.183969 -0.017715
8.644 0.189507 -0.017347
8.646 0.194911 -0.016968
8.648 0.200177 -0.0165782
8.65 0.205302 -0.0161778
8.652 0.210283 -0.0157672
8.654 0.215118 -0.0153467
8.656 0.219803 -0.0149164
8.658 0.224336 -0.0144768
8.66 0.228716 -0.0140282
8.662 0.232939 -0.0135707
8.664 0.237003 -0.0131049
8.666 0.240907 -0.0126308
8.668 0.244649 -0.012149
8.67 0.248227 -0.0116597
8.672 0.251639 -0.0111633
8.674 0.254884 -0.01066
8.676 0.257962 -0.0101502
8.678 0.26087 -0.00963431
8.68 0.263607 -0.00911257
8.682 0.266174 -0.00858536
8.684 0.268569 -0.00805301
8.686 0.270791 -0.00751587
8.688 0.272841 -0.00697429
8.69 0.274717 -0.00642861
8.692 0.27642 -0.00587917
8.694 0.27795 -0.00532633
8.696 0.279306 -0.00477043
8.698 0.280489 -0.00421182
8.7 0.2815 -0.00365084
8.702 0.282338 -0.00308784
8.704 0.283003 -0.00252317
8.706 0.283498 -0.00195716
8.708 0.283822 -0.00139016
8.71 0.283976 -0.000822521
8.712 0.283961 -0.00025457
8.714 0.283778 0.000313352
8.716 0.283429 0.000880908
8.718 0.282914 0.00144777
8.72 0.282235 0.00201359
8.722 0.281393 0.00257806
8.724 0.28039 0.00314085
8.726 0.279227 0.00370163
8.728 0.277905 0.00426008
8.73 0.276428 0.00481589
8.732 0.274795 0.00536875
8.734 0.27301 0.00591834
8.736 0.271074 0.00646436
8.738 0.268988 0.0070065
8.74 0.266756 0.00754448
8.742 0.264379 0.00807799
8.744 0.261859 0.00860675
8.746 0.259199 0.00913047
8.748 0.2564 0.00964887
8.75 0.253465 0.0101617
8.752 0.250396 0.0106686
8.754 0.247196 0.0111694
8.756 0.243867 0.0116638
8.758 0.240412 0.0121515
8.76 0.236833 0.0126323
8.762 0.233132 0.013106
8.764 0.229312 0.0135723
8.766 0.225376 0.0140309
8.768 0.221326 0.0144816
8.77 0.217165 0.0149243
8.772 0.212895 0.0153586
8.774 0.20852 0.0157844
8.776 0.204042 0.0162015
8.778 0.199463 0.0166095
8.78 0.194786 0.0170085
8.782 0.190015 0.017398
8.784 0.185152 0.0177781
8.786 0.180199 0.0181484
8.788 0.175159 0.0185088
8.79 0.170036 0.0188591
8.792 0.164832 0.0191992
8.794 0.15955 0.0195288
8.796 0.154193 0.0198479
8.798 0.148763 0.0201563
8.8 0.143264 0.0204538
8.802 0.137698 0.0207404
8.804 0.132068 0.0210158
8.806 0.126377 0.0212799
8.808 0.120628 0.0215326
8.81 0.114823 0.0217739
8.812 0.108967 0.0220035
8.814 0.103061 0.0222215
8.816 0.0971078 0.0224276
8.818 0.0911113 0.0226218
8.82 0.085074 0.022804
8.822 0.0789987 0.0229742
8.824 0.0728884 0.0231322
8.826 0.0667459 0.023278
8.828 0.0605741 0.0234115
8.83 0.0543759 0.0235326
8.832 0.0481543 0.0236414
8.834 0.041912 0.0237377
8.836 0.035652 0.0238215
8.838 0.0293772 0.0238928
8.84 0.0230904 0.0239515
8.842 0.0167946 0.0239977
8.844 0.0104926 0.0240313
8.846 0.00418731 0.0240523
8.848 -0.00211834 0.0240607
8.85 -0.00842149 0.0240564
8.852 -0.0147193 0.0240396
8.854 -0.0210088 0.0240102
8.856 -0.0272871 0.0239681
8.858 -0.0335514 0.0239136
8.86 -0.0397988 0.0238465
8.862 -0.0460263 0.0237669
8.864 -0.0522312 0.0236748
8.866 -0.0584106 0.0235704
8.868 -0.0645615 0.0234535
8.87 -0.0706811 0.0233244
8.872 -0.0767665 0.023183
8.874 -0.0828148 0.0230295
8.876 -0.0888232 0.0228639
8.878 -0.0947889 0.0226862
8.88 -0.100709 0.0224967
8.882 -0.10658 0.0222952
8.884 -0.1124 0.0220821
8.886 -0.118166 0.0218573
8.888 -0.123875 0.0216209
8.89 -0.129524 0.0213732
8.892 -0.13511 0.0211141
8.894 -0.140631 0.0208439
8.896 -0.146083 0.0205627
8.898 -0.151464 0.0202705
8.9 -0.156771 0.0199676
8.902 -0.162001 0.019654
8.904 -0.167152 0.01933
8.906 -0.17222 0.0189957
8.908 -0.177203 0.0186513
8.91 -0.182098 0.0182969
8.912 -0.186903 0.0179327
8.914 -0.191614 0.0175589
8.916 -0.196229 0.0171756
8.918 -0.200746 0.0167832
8.92 -0.205161 0.0163817
8.922 -0.209472 0.0159714
8.924 -0.213677 0.0155524
8.926 -0.217772 0.0151251
8.928 -0.221755 0.0146895
8.93 -0.225624 0.014246
8.932 -0.229376 0.0137948
8.934 -0.233009 0.013336
8.936 -0.23652 0.01287
8.938 -0.239906 0.012397
8.94 -0.243166 0.0119172
8.942 -0.246297 0.0114308
8.944 -0.249297 0.0109382
8.946 -0.252163 0.0104396
8.948 -0.254893 0.00993531
8.95 -0.257486 0.00942552
8.952 -0.259938 0.00891055
8.954 -0.262248 0.00839067
8.956 -0.264415 0.00786618
8.958 -0.266435 0.00733735
8.96 -0.268307 0.00680448
8.962 -0.270029 0.00626786
8.964 -0.2716 0.0057278
8.966 -0.273018 0.0051846
8.968 -0.27428 0.00463857
8.97 -0.275387 0.00409001
8.972 -0.276335 0.00353923
8.974 -0.277124 0.00298656
8.976 -0.277753 0.00243232
8.978 -0.278219 0.00187681
8.98 -0.278523 0.00132037
8.982 -0.278663 0.000763326
8.984 -0.278637 0.000206001
8.986 -0.278446 -0.000351273
8.988 -0.278088 -0.000908165
8.99 -0.277563 -0.00146434
8.992 -0.27687 -0.00201947
8.994 -0.276009 -0.00257321
8.996 -0.274979 -0.00312523
8.998 -0.27378 -0.00367518
9 -0.272412 -0.00422274
9.002 -0.270876 -0.00476757
9.004 -0.26917 -0.00530932
9.006 -0.267296 -0.00584766
9.008 -0.265253 -0.00638225
9.01 -0.263043 -0.00691276
9.012 -0.260665 -0.00743884
9.014 -0.258121 -0.00796017
9.016 -0.255411 -0.00847641
9.018 -0.252537 -0.00898724
9.02 -0.249499 -0.00949231
9.022 -0.246299 -0.00999131
9.024 -0.242938 -0.0104839
9.026 -0.239418 -0.0109698
9.028 -0.23574 -0.0114486
9.03 -0.231906 -0.0119201
9.032 -0.227918 -0.0123839
9.034 -0.223778 -0.0128397
9.036 -0.219489 -0.0132873
9.038 -0.215053 -0.0137263
9.04 -0.210471 -0.0141564
9.042 -0.205748 -0.0145773
9.044 -0.200885 -0.0149888
9.046 -0.195885 -0.0153906
9.048 -0.190752 -0.0157824
9.05 -0.185488 -0.0161639
9.052 -0.180097 -0.0165348
9.054 -0.174582 -0.016895
9.056 -0.168947 -0.0172442
9.058 -0.163195 -0.0175821
9.06 -0.15733 -0.0179085
9.062 -0.151356 -0.0182231
9.064 -0.145278 -0.0185259
9.066 -0.139098 -0.0188164
