lab4.cpp
lab4.err
lab4.out
lab4.sh
t v x
x=0.5
0.388 0.539134 0.00324572
0.39 0.537714 0.00432399
0.392 0.535992 0.00539941
0.394 0.533974 0.0064714
0.396 0.531664 0.00753935
0.398 0.529066 0.00860268
0.4 0.526185 0.00966081
0.402 0.523025 0.0107132
0.404 0.519592 0.0117592
0.406 0.51589 0.0127984
0.408 0.511925 0.0138302
0.41 0.507701 0.014854
0.412 0.503224 0.0158694
0.414 0.498498 0.0168759
0.416 0.493529 0.0178729
0.418 0.488321 0.0188599
0.42 0.482881 0.0198366
0.422 0.477212 0.0208024
0.424 0.471321 0.0217568
0.426 0.465212 0.0226994
0.428 0.45889 0.0236298
0.43 0.452361 0.0245476
0.432 0.44563 0.0254523
0.434 0.438702 0.0263436
0.436 0.431583 0.027221
0.438 0.424276 0.0280842
0.44 0.416787 0.0289327
0.442 0.409122 0.0297663
0.444 0.401285 0.0305845
0.446 0.393281 0.0313871
0.448 0.385116 0.0321737
0.45 0.376793 0.0329439
0.452 0.368319 0.0336975
0.454 0.359697 0.0344341
0.456 0.350933 0.0351535
0.458 0.342031 0.0358554
0.46 0.332995 0.0365395
0.462 0.323832 0.0372054
0.464 0.314545 0.0378531
0.466 0.305138 0.0384822
0.468 0.295617 0.0390925
0.47 0.285986 0.0396837
0.472 0.276249 0.0402557
0.474 0.26641 0.0408082
0.476 0.256475 0.041341
0.478 0.246447 0.0418539
0.48 0.23633 0.0423468
0.482 0.22613 0.0428195
0.484 0.215849 0.0432718
0.486 0.205493 0.0437035
0.488 0.195064 0.0441144
0.49 0.184569 0.0445046
0.492 0.17401 0.0448737
0.494 0.163391 0.0452217
0.496 0.152717 0.0455485
0.498 0.141991 0.0458539
0.5 0.131218 0.0461379
0.502 0.120401 0.0464004
0.504 0.109544 0.0466412
0.506 0.0986514 0.0468603
0.508 0.0877268 0.0470576
0.51 0.076774 0.047233
0.512 0.0657968 0.0473866
0.514 0.0547991 0.0475181
0.516 0.0437847 0.0476277
0.518 0.0327572 0.0477153
0.52 0.0217206 0.0477808
0.522 0.0106785 0.0478243
0.524 -0.000365207 0.0478456
0.526 -0.0114068 0.0478449
0.528 -0.0224425 0.0478221
0.53 -0.0334685 0.0477772
0.532 -0.0444811 0.0477103
0.534 -0.0554764 0.0476213
0.536 -0.0664508 0.0475103
0.538 -0.0774003 0.0473774
0.54 -0.0883212 0.0472226
0.542 -0.0992096 0.047046
0.544 -0.110062 0.0468476
0.546 -0.120874 0.0466275
0.548 -0.131642 0.0463857
0.55 -0.142361 0.0461224
